"date","value","volume"
"2021-12-07","9045","4446"
"2021-12-08","9125","7073"
"2021-12-09","9120","1575"
"2021-12-10","9120","11794"
"2021-12-13","9110","8210"
"2021-12-14","9160","10655"
"2021-12-15","9120","2902"
"2021-12-16","9115","2606"
"2021-12-17","9005","3111"
"2021-12-20","9090","91208"
"2021-12-21","9040","77656"
"2021-12-22","8990","47369"
"2021-12-23","8990","77673"
"2021-12-24","8985","92252"
"2021-12-27","8990","79991"
"2021-12-28","9070","5095"
"2021-12-30","9080","1841"
"2021-12-31","9785","14312"
"2022-01-03","9060","3945"
"2022-01-04","9060","6839"
"2022-01-05","9025","101129"
"2022-01-06","9080","109438"
"2022-01-07","8990","112118"
"2022-01-10","8995","115471"
"2022-01-11","8985","112509"
"2022-01-12","8990","112526"
"2022-01-13","8990","112454"
"2022-01-14","8840","144671"
"2022-01-17","8470","159787"
"2022-01-18","8700","107159"
"2022-01-19","8730","73752"
"2022-01-20","8680","55877"
"2022-01-21","8380","3028"
"2022-01-24","8105","1645"
"2022-01-25","7870","2529"
"2022-01-26","7765","5324"
"2022-01-27","7560","5623"
"2022-01-28","7410","2580"
"2022-01-31","7360","4685"
